1,2,3,4
0.099678,0.094596,0.10969,0.074351
0.10077,0.093518,0.11165,0.073033
0.10085,0.094233,0.11083,0.073544
0.10121,0.094438,0.11286,0.07419
0.10119,0.094785,0.11234,0.073775
0.10098,0.095341,0.11113,0.073021
0.1023,0.095818,0.11225,0.077019
0.10029,0.094476,0.11119,0.073479
0.099618,0.094366,0.11109,0.073083
0.10008,0.094593,0.1114,0.074708
0.1018,0.092701,0.11127,0.075388
0.10053,0.096195,0.11262,0.072526
0.10036,0.095339,0.11179,0.073688
0.10011,0.095921,0.1137,0.074367
0.099691,0.096063,0.11096,0.074803
0.098454,0.093728,0.10992,0.073436
0.095818,0.092668,0.10824,0.073143
0.099396,0.094996,0.11089,0.074026
0.098013,0.095491,0.11161,0.073686
0.097704,0.093788,0.1111,0.07333
0.097053,0.093481,0.11109,0.073569
0.097269,0.095469,0.11183,0.075094
0.1001,0.095294,0.11114,0.07521
0.09845,0.094819,0.11095,0.075593
0.098883,0.093955,0.1122,0.074532
0.09733,0.09554,0.11148,0.073836
0.097502,0.094714,0.11269,0.075097
0.096826,0.093696,0.11194,0.074677
0.098206,0.094759,0.11175,0.074667
0.096631,0.095135,0.11334,0.074224
0.096628,0.093198,0.11059,0.073009
0.096602,0.093672,0.11224,0.074599
0.09825,0.094797,0.11071,0.074762
0.097091,0.094226,0.11149,0.074552
0.093757,0.094612,0.11196,0.078757
0.09473,0.095169,0.11404,0.077631
0.095177,0.094644,0.1111,0.076763
0.093844,0.093891,0.11231,0.078141
0.09473,0.094933,0.11326,0.077633
0.095249,0.095078,0.11391,0.077666
0.096141,0.094313,0.1138,0.079214
0.094977,0.094896,0.11376,0.078148
0.094619,0.093466,0.11216,0.07792
0.093752,0.093742,0.11221,0.078829
0.094873,0.094297,0.11339,0.077916
0.096342,0.095392,0.11363,0.076444
0.094532,0.094258,0.11211,0.07775
0.092571,0.092812,0.11133,0.078016
0.092466,0.093067,0.10987,0.077898
0.093037,0.094085,0.11264,0.076088
0.094524,0.094484,0.11321,0.0779
0.094316,0.093022,0.1128,0.077844
0.094647,0.096866,0.11301,0.076633
0.095638,0.094603,0.11227,0.077291
0.09451,0.094461,0.11035,0.078912
0.094082,0.094688,0.11159,0.07708
0.094779,0.095979,0.11313,0.077072
0.094371,0.09589,0.1131,0.079791
0.095739,0.096205,0.11283,0.079286
0.093591,0.093578,0.11155,0.076124
0.092817,0.095044,0.11154,0.076028
0.093866,0.094517,0.11502,0.079294
0.093606,0.094007,0.11287,0.076098
0.09369,0.094211,0.11302,0.078397
0.094148,0.094003,0.11277,0.079557
0.095556,0.094311,0.11258,0.078527
0.09396,0.094753,0.11349,0.07877
0.093732,0.094912,0.11023,0.077377
0.093098,0.09371,0.11314,0.078224
0.093856,0.093659,0.11153,0.078456
0.093461,0.095143,0.11144,0.079092
0.097708,0.094684,0.11193,0.080545
0.094151,0.094771,0.11335,0.078435
0.094692,0.094157,0.11407,0.077912
0.09504,0.09407,0.11348,0.078067
0.095589,0.09491,0.1128,0.079052
0.09476,0.095436,0.11326,0.077872
0.095098,0.096073,0.11312,0.077767
0.094145,0.094007,0.11137,0.07761
0.093692,0.095027,0.11249,0.077582
0.094749,0.094912,0.11356,0.078948
0.095537,0.095123,0.11206,0.077106
0.094982,0.09452,0.11135,0.077138
0.093799,0.093495,0.11226,0.076415
0.092851,0.09404,0.11401,0.076845
0.094416,0.09381,0.11262,0.077192
0.093863,0.09311,0.11325,0.077708
0.093126,0.09389,0.11237,0.079111
0.092348,0.093448,0.11239,0.076716
0.094672,0.093962,0.1125,0.076358
0.093281,0.094128,0.11291,0.077268
0.094216,0.094107,0.11265,0.076496
0.094931,0.093994,0.11351,0.077431
0.093782,0.093892,0.11229,0.077899
0.093866,0.093436,0.11303,0.078549
0.094921,0.094261,0.11196,0.078315
0.094307,0.094043,0.11194,0.077925
0.094157,0.093771,0.11253,0.078618
0.093433,0.094947,0.11321,0.076816
0.093989,0.094616,0.11498,0.078322
0.09387,0.093827,0.11151,0.075983
0.093418,0.09452,0.11197,0.076902
0.094,0.093925,0.11123,0.077459
