1,2,3,4
0.078513,0.091873,0.065995,0.052979
0.079822,0.093418,0.069281,0.052618
0.081071,0.092838,0.068659,0.054669
0.079155,0.092879,0.067534,0.053811
0.079568,0.093292,0.069825,0.053279
0.080383,0.095237,0.069559,0.055244
0.078549,0.09279,0.067083,0.053795
0.080134,0.094918,0.070132,0.055188
0.078333,0.094193,0.069386,0.054263
0.079364,0.095449,0.068505,0.054105
0.079559,0.093895,0.069445,0.054555
0.080171,0.094993,0.069647,0.055331
0.078878,0.093093,0.068636,0.053015
0.081497,0.095027,0.069522,0.054583
0.081295,0.095277,0.071732,0.055357
0.081621,0.095011,0.071223,0.055648
0.080242,0.092699,0.068883,0.054763
0.080532,0.094785,0.072184,0.054466
0.083297,0.095528,0.070548,0.056471
0.083907,0.096819,0.070245,0.055582
0.083469,0.096487,0.074373,0.056407
0.082885,0.097123,0.073656,0.05595
0.081524,0.09467,0.071829,0.055207
0.084022,0.096687,0.072715,0.055838
0.082386,0.093043,0.070485,0.055063
0.079455,0.094037,0.071678,0.054378
0.08148,0.094784,0.069719,0.055841
0.080486,0.094606,0.068994,0.055718
0.082379,0.093622,0.07174,0.056194
0.081447,0.093835,0.069445,0.054838
0.080531,0.093422,0.0702,0.05513
0.081466,0.093451,0.069793,0.055469
0.081951,0.09536,0.071433,0.055974
0.08123,0.09359,0.071984,0.055812
0.08224,0.094365,0.071205,0.056331
0.08207,0.091241,0.068823,0.054873
0.08182,0.094628,0.069341,0.055978
0.082012,0.093996,0.071018,0.055728
0.081421,0.094208,0.071041,0.055613
0.081429,0.092652,0.069745,0.056223
0.08337,0.096481,0.070353,0.056383
0.080411,0.092977,0.069321,0.054939
0.08122,0.092882,0.068927,0.055739
0.080319,0.091073,0.067536,0.054009
0.078889,0.0922,0.069156,0.054169
0.080397,0.092741,0.068273,0.055243
0.079904,0.091819,0.068842,0.054111
0.082764,0.094146,0.070272,0.05633
0.081833,0.09296,0.067918,0.055372
0.079214,0.092617,0.068169,0.054429
0.08106,0.092511,0.07062,0.055556
0.079127,0.091863,0.06731,0.054904
0.081132,0.092742,0.070591,0.054868
0.080503,0.092749,0.068014,0.055422
0.083404,0.093336,0.070349,0.056785
0.079727,0.093823,0.069086,0.054728
0.078369,0.090911,0.068537,0.05566
0.078517,0.090631,0.068009,0.053688
0.080005,0.091999,0.070019,0.054051
0.082291,0.093027,0.068187,0.055247
0.080221,0.092083,0.067506,0.055545
0.07821,0.091947,0.071028,0.054152
0.080378,0.092885,0.069847,0.056029
0.079272,0.093002,0.071284,0.054124
0.081894,0.092142,0.071495,0.055073
0.079127,0.092124,0.068254,0.05546
0.081647,0.092849,0.068836,0.05496
0.079348,0.091452,0.070309,0.054312
0.079503,0.092769,0.068584,0.054508
0.080411,0.089857,0.06807,0.055155
0.080492,0.091688,0.071666,0.055056
0.081499,0.091781,0.069062,0.054467
0.08,0.090368,0.068865,0.054475
0.079579,0.089244,0.06766,0.053751
0.078315,0.090918,0.069741,0.053578
0.079503,0.089823,0.068396,0.0536
0.081802,0.091651,0.068154,0.055756
0.080604,0.091036,0.070271,0.054923
0.080808,0.091052,0.069241,0.053972
0.080342,0.090386,0.067536,0.054129
0.081109,0.091939,0.069118,0.055032
0.079505,0.089474,0.06708,0.054088
0.080508,0.09201,0.069231,0.054423
0.07943,0.091541,0.067362,0.055115
0.078876,0.089725,0.069184,0.053401
0.0816,0.091127,0.070663,0.054885
0.079456,0.08994,0.068989,0.054052
0.080186,0.090522,0.067948,0.055014
0.080984,0.091993,0.07002,0.055319
0.078861,0.088843,0.067113,0.054143
0.079976,0.090673,0.067932,0.053817
0.080314,0.090671,0.070008,0.054914
0.079168,0.09145,0.069234,0.054394
0.078053,0.088005,0.067194,0.053035
0.081026,0.090285,0.067948,0.055507
0.080409,0.08959,0.069127,0.053379
0.080043,0.090765,0.067755,0.054546
0.079582,0.089802,0.067521,0.054764
0.080077,0.088946,0.067157,0.053002
0.080355,0.090432,0.068296,0.055682
0.077527,0.087516,0.066711,0.054242
0.080948,0.090649,0.06761,0.055276
0.078071,0.088478,0.067494,0.052982
0.079264,0.089006,0.065971,0.053818
0.079244,0.088763,0.067404,0.053899
0.077717,0.088427,0.067784,0.053974
0.078356,0.089189,0.068842,0.052753
0.079054,0.090201,0.067967,0.0534
0.079054,0.088953,0.067847,0.053162
0.078811,0.089111,0.06858,0.053537
0.07792,0.088667,0.070095,0.053727
0.077806,0.087785,0.066223,0.052245
0.081075,0.089671,0.069298,0.054228
0.07797,0.086567,0.067445,0.053196
0.080691,0.088401,0.06716,0.053864
0.077061,0.087433,0.067892,0.05211
0.078964,0.088274,0.069127,0.053073
0.078736,0.089085,0.067742,0.053511
0.079799,0.088396,0.066469,0.053568
0.077835,0.089245,0.070058,0.05274
0.080126,0.089152,0.067215,0.053602
0.076402,0.087842,0.067347,0.052522
0.078812,0.087466,0.068195,0.053294
0.078583,0.086842,0.067212,0.052782
0.07667,0.088013,0.068832,0.053212
0.079411,0.089028,0.067062,0.054272
0.079034,0.087644,0.068338,0.053432
0.078947,0.087908,0.067295,0.052803
0.078639,0.087498,0.067872,0.053458
